STYLE#,MILIMETER    /    NOTE,DIMENSIONS,AVAILABLE  LENGTH,PAGE /  SUB-PAGE HEADER,DESCRIPTION,AVG.WT.,TRIPLE KEY UNIT PRICE IN USD,PAGE #,U= DO NOT PRINT WEIGHT W=PRINT WEIGHT,SECTION ,COLLECTION TYPE
BOX028         ,0.45MM,,          ,,0.45MM YG CLASSIC BOX CHAIN   ,1,,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-16      ,     ,,"16""       ",,16  0.45MM CLASSIC BOX        ,0.6,78.21,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-18      ,     ,,"18""       ",,18  0.45MM CLASSIC BOX CHAIN  ,0.7,91.23,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-20      ,     ,,"20""       ",,14KY .45MM CLASSIC BOX        ,0.85,110.79,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040         ,0.6MM,,          ,,BOX 040 .6MM                  ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-13      ,     ,,"13""       ",,13  0.6MM BOX CHAIN           ,0.7,88.11,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-16      ,     ,,"16""       ",,16  BOX 040 .60 MM            ,0.9,113.25,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-17      ,     ,,"17""       ",,14KT BOX CHAIN .60MM 17       ,0.95,119.55,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-18      ,     ,,"18""       ",,18  BOX 040 .6MM              ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-20      ,     ,,"20""       ",,20  BOX 040 .6MM              ,1.1,138.42,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-24      ,     ,,"24""       ",,24  BOX 040 .6MM              ,1.3,163.59,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048         ,0.7MM,,          ,,14K YG BOX CHAIN .7MM         ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-16      ,     ,,"16""       ",,16  BOX CHAIN                 ,1.5,185.4,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-18      ,     ,,"18""       ",,18  BOX CHAIN                 ,1.6,197.76,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-20      ,     ,,"20""       ",,20  BOX CHAIN                 ,1.8,222.48,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-24      ,     ,,"24""       ",,24  BOX CHAIN                 ,2,247.2,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053         ,0.8MM,,          ,,BOX 053 .8MM                  ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-13      ,     ,,"13""       ",,13  BOX053                    ,1.5,184.29,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-16      ,     ,,"16""       ",,16  BOX 053                   ,1.8,221.13,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-18      ,     ,,"18""       ",,18  BOX 053                   ,2,245.7,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-20      ,     ,,"20""       ",,20  BOX 053                   ,2.2,270.27,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-22      ,     ,,"22""       ",,22  BOX 053                   ,2.4,294.84,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-24      ,     ,,"24""       ",,24  BOX 053                   ,2.6,319.41,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-30      ,     ,,"30""       ",,30  BOX 053                   ,3.2,393.12,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063         ,1.0MM,,          ,,BOX 063 1.0MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-16      ,     ,,"16""       ",,16  BOX 063                   ,2.9,356.28,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-18      ,     ,,"18""       ",,18  BOX 063                   ,3.1,380.82,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-20      ,     ,,"20""       ",,20  BOX 063                   ,3.3,405.39,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-22      ,     ,,"22""       ",,22  BOX 063                   ,3.7,454.53,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-24      ,     ,,"24""       ",,24  BOX 063                   ,3.9,479.1,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-30      ,     ,,"30""       ",,30  BOX 063                   ,5,614.25,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068         ,1.2MM,,          ,,BOX 068 1.2MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-16      ,     ,,"16""       ",,16  BOX 068                   ,3.8,466.83,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
